Designator,Mid X,Mid Y,Layer,Rotation
Brd1,215.106250mm,-60.325000mm,Top,0
C1,160.493750mm,-76.930250mm,Top,0
C2,153.416000mm,-81.788000mm,Top,270
C3,139.446000mm,-60.452000mm,Top,180
C4,143.637000mm,-55.626000mm,Top,180
C5,147.447000mm,-78.740000mm,Top,180
C6,149.606000mm,-49.276000mm,Top,90
C7,138.112500mm,-43.307000mm,Top,0
C8,139.573000mm,-55.626000mm,Top,0
D1,34.925000mm,-50.006250mm,Top,0
D2,34.925000mm,-69.056250mm,Top,0
D3,34.925000mm,-88.106250mm,Top,0
D4,37.306250mm,-111.918750mm,Top,0
D5,37.306250mm,-130.968750mm,Top,0
D6,53.975000mm,-50.006250mm,Top,0
D7,53.975000mm,-69.056250mm,Top,0
D8,53.975000mm,-88.106250mm,Top,0
D9,61.118750mm,-111.918750mm,Top,0
D10,61.118750mm,-130.968750mm,Top,0
D11,73.025000mm,-50.006250mm,Top,0
D12,73.025000mm,-69.056250mm,Top,0
D13,73.025000mm,-88.106250mm,Top,0
D14,82.550000mm,-111.918750mm,Top,0
D15,82.550000mm,-130.968750mm,Top,0
D16,101.600000mm,-111.918750mm,Top,0
D17,101.600000mm,-130.968750mm,Top,0
D18,120.650000mm,-111.918750mm,Top,0
D19,120.650000mm,-130.968750mm,Top,0
D20,139.700000mm,-111.918750mm,Top,0
D21,139.700000mm,-130.968750mm,Top,0
D22,158.750000mm,-111.918750mm,Top,0
D23,158.750000mm,-130.968750mm,Top,0
D24,177.800000mm,-111.918750mm,Top,0
D25,177.800000mm,-130.968750mm,Top,0
D26,196.850000mm,-111.918750mm,Top,0
D27,196.850000mm,-130.968750mm,Top,0
D28,215.900000mm,-111.918750mm,Top,0
D29,215.837500mm,-130.968750mm,Top,0
D35,115.887500mm,-47.625000mm,Top,180
D36,108.743750mm,-32.543750mm,Top,180
F1,113.693750mm,-32.543750mm,Top,0
J1,100.965000mm,-35.433000mm,Top,180
R1,124.714000mm,-48.260000mm,Top,0
R2,124.618750mm,-43.656250mm,Top,0
R3,107.156250mm,-39.687500mm,Top,0
R4,100.012500mm,-40.481250mm,Top,0
R5,166.243000mm,-58.420000mm,Top,180
R6,147.637500mm,-73.914000mm,Top,0
R7,100.012500mm,-45.243750mm,Top,0
S1,107.876250mm,-60.966250mm,Top,180
SW1,41.275000mm,-41.275000mm,Top,0
SW2,41.275000mm,-60.325000mm,Top,0
SW3,41.275000mm,-79.375000mm,Top,0
SW4,46.037500mm,-103.187500mm,Top,0
SW5,43.656250mm,-122.237500mm,Top,0
SW6,60.325000mm,-41.275000mm,Top,0
SW7,60.325000mm,-60.325000mm,Top,0
SW8,60.325000mm,-79.375000mm,Top,0
SW9,69.850000mm,-103.187500mm,Top,0
SW10,67.468750mm,-122.237500mm,Top,0
SW11,79.375000mm,-41.275000mm,Top,0
SW12,79.375000mm,-60.325000mm,Top,0
SW13,79.375000mm,-79.375000mm,Top,0
SW14,88.900000mm,-103.187500mm,Top,0
SW15,88.900000mm,-122.237500mm,Top,0
SW16,107.950000mm,-103.187500mm,Top,0
SW17,107.950000mm,-122.237500mm,Top,0
SW18,127.000000mm,-103.187500mm,Top,0
SW19,127.000000mm,-122.237500mm,Top,0
SW20,146.050000mm,-103.187500mm,Top,0
SW21,146.050000mm,-122.237500mm,Top,0
SW22,165.100000mm,-103.187500mm,Top,0
SW23,165.100000mm,-122.237500mm,Top,0
SW24,184.150000mm,-103.187500mm,Top,0
SW25,184.150000mm,-122.237500mm,Top,0
SW26,203.200000mm,-103.187500mm,Top,0
SW27,203.200000mm,-122.237500mm,Top,0
SW28,222.250000mm,-103.187500mm,Top,0
SW29,222.250000mm,-122.237500mm,Top,0
SW30,183.356250mm,-72.231250mm,Top,0
SW31,183.356250mm,-47.625000mm,Top,0
SW32,94.456250mm,-87.312500mm,Top,0
U1,155.575000mm,-60.325000mm,Top,0
U2,115.824000mm,-41.783000mm,Top,0
Y1,154.602000mm,-77.050000mm,Top,180
